おはよう,おはよう,"(int,uk,abbr) Good morning; (P)",ohayou,,Twitch 50 (preselected 50 starting words for Japanese Quest),,,,,Community created list -- made while streaming live at twitch.tv/japanesequest
こんにちは,こんにちは,"(int,uk) hello; good day (daytime greeting); (P)",konnichiwa,,,,,,,
有り難う,ありがとう,"(conj,exp,uk,abbr) Thank you; (P)",arigatou,,,,,,,
はい,はい,"(int,pol) yes; OK (used to get attention prior to an utterance); okay; giddy-up; giddap; (P)",hai,,,,,,,
いいえ,いいえ,"(int,uk) no; nay; well; (P)",iie,,,,,,,
さようなら,さようなら,"(int,uk) good-bye; (P)",sayounara,,,,,,,
すみません,すみません,"(int,uk,pol) sorry; excuse me; thank you; (P)",sumimasen,,,,,,,
初めまして,はじめまして,"(exp,uk) How do you do?; I am glad to meet you",hajimemashite,,,,,,,
よろしく,よろしく,"(exp,adv,uk,ateji) well; properly; suitably; best regards; please remember me; please treat me favorably (favourably); please take care of; (P)",yoroshiku,,,,,,,
私,わたし,"(pn,adj-no) I; me; private affairs; personal matter; secrecy; selfishness; (P)",watashi,,,,,,,
寿司,すし,"(n,ateji) sushi; anything made with vinegared rice (may also contain vegetables, spices, fish, or other delicacies); (P)",sushi,,,,,,,
空オケ,カラオケ,"(n,adj-no,uk) karaoke (singing to taped accompaniment); (P)",karaoke,,,,,,,
忍者,にんじゃ,"(n) ninja (persons in feudal Japan who used ninjutsu for the purposes of espionage, assassination, sabotage, etc.)",ninja,,,,,,,
侍,さむらい,"(n,arch) warrior (esp. of military retainers of daimyos in the Edo period); samurai; man in attendance (on a person of high standing); retainer; (P)",samurai,,,,,,,
相撲,すもう,"(n,abbr) sumo wrestling; sumo wrestler; rikishi; (P)",sumou,,,,,,,
空手,からて,(n) karate; empty handed; (P),karate,,,,,,,
俳句,はいく,"(n) haiku poetry (17-syllable poem usually in 3 lines of 5, 7 and 5 syllables); (P)",haiku,,,,,,,
絵文字,えもじ,(n) ideograph; pictograph,emoji,,,,,,,
漫画,まんが,(n) comic; cartoon; (P),manga,,,,,,,
アニメ,アニメ,"(n,adj-no,abbr) animated film; animated cartoon; anime (when referring to Japanese cartoons); animation; (P)",anime,,,,,,,
ゲーム,ゲーム,(n) game; (P),geemu,,,,,,,
パソコン,パソコン,"(n,adj-no,abbr) personal computer; (P)",pasokon,,,,,,,
インターネット,インターネット,"(n,adj-no) the Internet; (P)",intaanetto,,,,,,,
サッカー,サッカー,(n) soccer; seersucker; (P),sakkaa,,,,,,,
テニス,テニス,(n) tennis; (P),tenisu,,,,,,,
トイレ,トイレ,"(n,abbr) toilet; restroom; bathroom; lavatory; (P)",toire,,,,,,,
コンビニ,コンビニ,"(n,abbr) convenience store; (P)",konbini,,,,,,,
オレンジ,オレンジ,(n) orange; (P),orenji,,,,,,,
ハンバーガー,ハンバーガー,(n) hamburger (on a bun); (P),hanbaagaa,,,,,,,
マクドナルド,マクドナルド,(n) McDonald's (restaurant); (P),makudonarudo,,,,,,,
何,なに,"(int,pn,adj-no,pref,n,col) what; how many (some counter); euph. for genitals or sex; (P)",nani,,,,,,,
猫,ねこ,"(n,abbr,uk,col) cat; shamisen; geisha; wheelbarrow; clay bed-warmer; submissive partner of a homosexual relationship; (P)",neko,,,,,,,
可愛い,かわいい,"(adj-i,ateji) cute; adorable; charming; lovely; pretty; dear; precious; darling; pet; cute little; tiny; (P)",kawaii,,,,,,,
馬鹿,ばか,"(adj-na,n) fool; idiot; trivial matter; folly; (P)",baka,,,,,,,
駄目,だめ,"(adj-na,n,uk) useless; no good; hopeless; (P)",dame,,,,,,,
好き,すき,"(adj-na,n) liking; fondness; love; (P)",suki,,,,,,,
友だち,ともだち,(n) friend; companion; (P),tomodachi,,,,,,,
先生,せんせい,"(n,suf) teacher; master; doctor; with names of teachers, etc. as an honorific; (P)",sensei,,,,,,,
夢,ゆめ,(n) dream; (P),yume,,,,,,,
やった,やった,(int) hooray (lit: I or we did it); whee; hot dog!; you beaut; whacko; yowzer!; whoopee!; yes!; (P),yatta,,,,,,,
一,いち,"(num,pref,suf) one; best in; the most (...) in (where an adjective follows); (P)",ichi,,,,,,,
二,に,(num) two; (P),ni,,,,,,,
三,さん,(num) three; (P),san,,,,,,,
四,し,(num) four; (P),shi,,,,,,,
五,ご,(num) five; (P),go,,,,,,,
六,ろく,(num) six; (P),roku,,,,,,,
七,しち,(num) seven; (P),shichi,,,,,,,
八,はち,(num) eight; (P),hachi,,,,,,,
九,きゅう,(num) nine; (P),kyuu,,,,,,,
十,じゅう,(num) 10; ten; (P),juu,,,,,,,
力,ちから,(n) force; strength; might; vigour (vigor); energy; capability; ability; proficiency; capacity; faculty; efficacy; effect; effort; endeavours (endeavors); exertions; power; (P),chikara,,Xenoblade 2 words start here,,,,,
冒険,ぼうけん,"(n,vs) risk; venture; adventure; (P)",bouken,,,,,,,
凄い,すごい,"(adj-i,uk) terrible; dreadful; amazing (e.g. of strength); great (e.g. of skills); wonderful; terrific; to a great extent; vast (in numbers); (P)",sugoi,,,,,,,
大きい,おおきい,(adj-i) big; large; great; (P),ookii,,,,,,,
小さい,ちいさい,(adj-i) small; little; tiny; (P),chiisai,,,,,,,
強い,つよい,(adj-i) strong; powerful; mighty; potent; resistant; resilient; durable; (P),tsuyoi,,,,,,,
弱い,よわい,(adj-i) weak; frail; delicate; tender; unskilled; weak (wine); (P),yowai,,,,,,,
硬い,かたい,(adj-i) hard; solid; tough; stiff; tight; wooden; unpolished (e.g. writing); strong; firm (not viscous or easily moved); safe; steady; honest; steadfast; obstinate; stubborn; (P),katai,,,,,,,
柔らかい,やわらかい,(adj-i) soft; tender; limp; (P),yawarakai,,,,,,,
綺麗,きれい,"(adj-na,uk) pretty; lovely; beautiful; fair; clean; clear; pure; tidy; neat; completely; entirely; (P)",kirei,,,,,,,
死ぬ,しぬ,"(v5n,vn,vi,sens) to die; (P)",shinu,,,,,,,
生きる,いきる,"(v1,vi) to live; to exist; (P)",ikiru,,,,,,,
火,ひ,"(n,n-suf) fire; flame; blaze; (P)",hi,,,,,,,
火曜日,かようび,"(n-adv,n-t) Tuesday; (P)",kayoubi,,,,,,,
水曜日,すいようび,"(n-adv,n-t) Wednesday; (P)",suiyoubi,,,,,,,
木曜日,もくようび,"(n-adv,n-t) Thursday; (P)",mokuyoubi,,,,,,,
金曜日,きんようび,"(n-adv,n-t) Friday; (P)",kinyoubi,,,,,,,
土曜日,どようび,"(n-adv,n-t) Saturday; (P)",doyoubi,,,,,,,
日曜日,にちようび,"(n-adv,n-t) Sunday; (P)",nichiyoubi,,,,,,,
月曜日,げつようび,"(n-adv,n-t) Monday; (P)",getsuyoubi,,,,,,,
風,かぜ,(n) wind; breeze; (P),kaze,,,,,,,
木,き,(n) tree; wood; timber; (P),ki,,,,,,,
知る,しる,"(v5r,vt) to know; to understand; to be acquainted with; to feel; (P)",shiru,,,,,,,
分かる,わかる,"(v5r,vi) to be understood; to be comprehended; to be grasped; to become clear; to be known; to be discovered; to be realized; to be realised; to be found out; (P)",wakaru,,,,,,,
水,みず,"(n) water (cold, fresh); (P)",mizu,,,,,,,
氷,こおり,(n) ice; shaved ice (usually served with flavored simple syrup); (P),koori,,,,,,,
泳ぐ,およぐ,"(v5g,vi) to swim; (P)",oyogu,,,,,,,
楽しい,たのしい,(adj-i) enjoyable; fun; (P),tanoshii,,,,,,,
元気,げんき,"(adj-na,n) health(y); robust; vigor; vigour; energy; vitality; vim; stamina; spirit; courage; pep; (P)",genki,,,,,,,
出発,しゅっぱつ,"(n,vs) departure; (P)",shuppatsu,,,,,,,
白,しろ,"(n,uk,m-sl) white; good guy; 'white hat'; (P)",shiro,,,,,,,
黒,くろ,"(n,uk,m-sl) black; dark; bad guy; 'black hat'; (P)",kuro,,,,,,,
青,あお,"(n,abbr,pref) blue; green; green light; black (horse coat color); immature; unripe; young; (P)",ao,,,,,,,
